0.3392 	WARNING 	Movie2 stim could not be imported and won't be available
16.8908 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xcb91c88>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.8908 	EXP 	window1: recordFrameIntervals = False
17.0567 	EXP 	window1: recordFrameIntervals = True
17.2409 	EXP 	window1: recordFrameIntervals = False
17.2862 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
19.0165 	EXP 	Set  sound=C
19.0471 	EXP 	Set  sound=900.0
19.0471 	EXP 	Sound  set volume 0.200
19.0519 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
19.0568 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
19.0583 	EXP 	New trial (rep=0, index=0): None
19.0586 	EXP 	window1: recordFrameIntervals = False
19.0761 	EXP 	text: autoDraw = True
19.0763 	EXP 	window1: recordFrameIntervals = False
19.9604 	EXP 	Sound  started
20.1441 	EXP 	Sound  stopped
20.2941 	DATA 	Keypress: space
20.2961 	EXP 	Sound  stopped
20.3106 	EXP 	text: autoDraw = False
20.3106 	EXP 	text_3: autoDraw = True
21.2956 	EXP 	New trial (rep=1, index=0): None
21.2958 	EXP 	window1: recordFrameIntervals = False
21.3116 	EXP 	text_3: autoDraw = False
21.3116 	EXP 	text_3: autoDraw = False
21.3116 	EXP 	text: autoDraw = True
21.3118 	EXP 	window1: recordFrameIntervals = False
21.8126 	EXP 	Sound  started
21.9958 	EXP 	Sound  stopped
22.0127 	DATA 	Keypress: space
22.0141 	EXP 	Sound  stopped
22.0289 	EXP 	text: autoDraw = False
22.0289 	EXP 	text_3: autoDraw = True
23.0149 	EXP 	New trial (rep=2, index=0): None
23.0150 	EXP 	window1: recordFrameIntervals = False
23.0306 	EXP 	text_3: autoDraw = False
23.0306 	EXP 	text_3: autoDraw = False
23.0306 	EXP 	text: autoDraw = True
23.0308 	EXP 	window1: recordFrameIntervals = False
23.9980 	EXP 	Sound  started
24.1654 	DATA 	Keypress: space
24.1667 	EXP 	Sound  stopped
24.1814 	EXP 	text: autoDraw = False
24.1814 	EXP 	text_3: autoDraw = True
25.1667 	EXP 	New trial (rep=3, index=0): None
25.1669 	EXP 	window1: recordFrameIntervals = False
25.1828 	EXP 	text_3: autoDraw = False
25.1828 	EXP 	text_3: autoDraw = False
25.1828 	EXP 	text: autoDraw = True
25.1831 	EXP 	window1: recordFrameIntervals = False
25.7839 	EXP 	Sound  started
25.9504 	DATA 	Keypress: space
